Density L1,Density L2,Density Linf,Velocity L1,Velocity L2,Velocity Linf,Maximum Level,Testcase,Executable
4.70718217766417e-05,0.0037262650830963747,0.6150326062185676,3.807968984832841e-05,0.003534420418689437,0.6064758876136489,0,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.9123363859113995e-06,0.0007946362137986664,0.3018166137313254,3.719727505452087e-06,0.0007531514882351774,0.3410660016839669,1,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.0710820372545477e-07,0.0001055349909379126,0.32155628739564857,8.412175729939063e-08,9.544621188387154e-05,0.36011098132511965,3,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
3.3366229270955278e-09,1.864678068423372e-05,0.5090059691264524,2.8785478102219012e-09,1.6437604925995226e-05,0.5242878678105098,5,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.612092608686466e-05,0.0036456354609010672,0.599738043201768,3.693130062534989e-05,0.0034480549983567812,0.5918196725957913,0,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.8862416527114e-06,0.0007834042544794026,0.2976693899797531,3.7564120843978784e-06,0.0007448514279766828,0.3326090733475034,1,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.07901451267383e-07,9.887128068664858e-05,0.2961307459546729,8.736013743368028e-08,9.159627316128666e-05,0.3266554804068333,3,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
3.2342387890717143e-09,1.2620151973709092e-05,0.2719761547447519,2.7865374682420227e-09,1.0904432722357401e-05,0.3034024351759094,5,SodX,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.438237402150993e-05,0.003651383638813881,0.6061810164285131,3.355122747347786e-05,0.0034507798178554116,0.6051391624540958,0,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.5039094549405615e-06,0.000774946902477466,0.2818956779821711,3.1504126604282536e-06,0.0007051291370391489,0.3252854007349266,1,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
9.560637463841136e-08,0.00010148580476540196,0.28665250494802974,7.144969928109516e-08,8.823729854894791e-05,0.32999294935978885,3,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
2.6228139673747757e-09,1.7696679395390686e-05,0.46017917659345775,2.1505221454412e-09,1.523623560257185e-05,0.48756297184189856,5,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.341098402137222e-05,0.003466041391344503,0.5672387615364949,3.16550685663557e-05,0.0032647645217203413,0.5706644391404421,0,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.831666654264413e-06,0.0008163603436867419,0.3086594447746367,3.4470086110530677e-06,0.0007513698967408119,0.3433444904656964,1,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
8.77271062146999e-08,8.729127564553988e-05,0.2064469193601015,6.496984225493639e-08,7.490994719274774e-05,0.24425506361890276,3,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.3335743531298392e-09,2.055662884658553e-05,0.6041952042264696,1.7142472050142881e-09,1.8637289408321907e-05,0.592036482012334,5,SodX,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.240303272481647e-05,0.0031318280992809425,0.49651409617988507,3.3374992605067655e-05,0.0029850694826215776,0.5072167208424687,0,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.621917795286034e-06,0.0007234394139326503,0.22578068446450583,3.4279425107825984e-06,0.0006703396312001,0.2566420117622359,1,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
9.515654878203562e-08,9.512387505942365e-05,0.24158735946058285,7.076027856717821e-08,8.270097564423224e-05,0.2725829135704528,3,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.4847548817430223e-09,1.5297205349551887e-05,0.3817667003911449,9.362334359672672e-10,1.291317621425678e-05,0.40838724357178346,5,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.087504235664504e-05,0.0029895015152740768,0.4677336025843972,3.1727108989489833e-05,0.002845054350281465,0.48277587352411333,0,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.445581147034149e-06,0.0007046924554187751,0.20919096625813483,3.3380121718741476e-06,0.0006614847983770161,0.23719268352369213,1,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
8.995960358143352e-08,8.893820014608741e-05,0.20858742831881028,6.956880252140212e-08,8.016781977365982e-05,0.2365241626627749,3,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.2999485562370903e-09,1.25798592455072e-05,0.2785655042993942,8.701659256438203e-10,1.0617646768502058e-05,0.30738151375060063,5,SodX,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
3.728079188167454e-05,0.002944543390482701,0.4734235521450041,2.815776219192359e-05,0.002819943188642613,0.49035849043986807,0,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.018492784755094e-06,0.0006786655355064952,0.1955242177067733,2.8056550775830607e-06,0.0006202925199529326,0.22835795514998738,1,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
8.172258921927408e-08,9.137734005976731e-05,0.21078890018953356,5.641232520653841e-08,7.72624173958302e-05,0.24418632178797603,3,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.3416773391708184e-09,1.4827434927311594e-05,0.35282145671374954,7.761040285090585e-10,1.22094447469634e-05,0.3851043976509139,5,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
3.6865659138542596e-05,0.0028205222638762904,0.44377328972640506,2.7732824901958283e-05,0.0026973991628149153,0.4650262551343256,0,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
3.990457064113876e-06,0.0006662827332633545,0.1778707616396229,2.882716681948793e-06,0.0006206047568755082,0.22345089576751143,1,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
7.965522544693215e-08,8.532260701225714e-05,0.17575512171271934,5.861380793241667e-08,7.589409072198341e-05,0.2259317075541858,3,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
1.221828901289869e-09,1.1863318050899871e-05,0.22950333299370285,7.796692813930126e-10,9.665024060136878e-06,0.2611338705731556,5,SodX,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
